group,title,sku,seller_sku_id,product_id,sale_price,total_stock,units_sold_window,priority_score,fill_cogs,fill_source,fill_comment
Конструкторы,Конструктор для мальчиков- трансформер 'Динозавр' 3 варианта сборки,WONDERS-ДИНОЗ-КРАСН,,2327715,1290.0,8,0,67.75,,,
Конструкторы,Конструктор для мальчиков- трансформер 'Динозавр' 3 варианта сборки,WONDERS-ДИНОЗ-СИНИЙ,,2327715,2490.0,4,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-ВИШН,,2327391,349.0,23,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-ОРАНЖ,,2327391,549.0,14,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-ЛЗЕЛЕН,,2327391,319.0,23,0,67.75,,,
Конструкторы,Конструктор блочный 'Кафе-кондитерская',WONDERS-9196309-КОРИЧН,,2326576,890.0,9,0,67.75,,,
Конструкторы,Конструктор металлический Стройка Кран Трактор Самосвал,WONDERS-02134-АЛЫЙ,,2071821,545.09,13,0,67.75,,,
Конструкторы,Конструктор металлический Стройка Кран Трактор Самосвал,WONDERS-02134-СИНИЙ,,2071821,545.09,13,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-ГОЛУБ,,2327391,499.0,13,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-АЛЫЙ,,2327391,319.0,19,0,67.75,,,
Конструкторы,Конструктор металлический Стройка Кран Трактор Самосвал,WONDERS-02134-БОРДОВ,,2071821,545.09,11,0,67.75,,,
Конструкторы,Конструктор для девочек Единорог Pixi,WONDERS-PIXI-ГОЛУБ,,2381835,369.0,16,0,67.75,,,
Конструкторы,Конструктор блочный для девочек,WONDERS-5177842-ВИШН,,2334426,649.0,9,0,67.75,,,
Конструкторы,Конструктор  'Железная дорога' Транспорт Поезд,WONDERS-ВВ4239-КРАСН,,1965188,801.0,7,0,67.75,,,
Конструкторы,Конструктор для девочек 'Замок принцессы',WONDERS-PRINC-ГОЛУБ,,2330053,2690.0,2,0,67.75,,,
Конструкторы,Конструктор металлический Стройка Кран Трактор Самосвал,WONDERS-02134-КОРИЧН,,2071821,545.09,9,0,67.75,,,
Конструкторы,Конструктор Динозавр со звуковыми эффектами Серия Дино мир,WONDERS-7761138-АЛЫЙ,Ал,2334521,690.0,7,0,67.75,,,
Конструкторы,Конструктор блочный 'Кафе-кондитерская',WONDERS-9196309-КОНФЕТН,,2326576,1190.0,4,0,67.75,,,
Конструкторы,Конструктор для девочек 'Комната Дорис',WONDERS-ДОРИС-ПУРПУР,,2336154,499.0,7,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-КОРИЧН,,2327391,349.0,10,0,67.75,,,
Конструкторы,Конструктор детский для девочек ' На воздушном шаре' ' Пляжный отдых',WONDERS-РОЗМЕЧТ-БИРЮЗ,,2398639,490.0,7,0,67.75,,,
Конструкторы,Конструктор для девочек Единорог Pixi,WONDERS-PIXI-ИНДИГО,,2381835,369.0,9,0,67.75,,,
Конструкторы,Конструктор для девочек Единорог Pixi,WONDERS-PIXI-РОЗОВ,,2381835,369.0,9,0,67.75,,,
Конструкторы,Конструктор блочный для девочек,WONDERS-5177842-КОРАЛЛ,,2334426,549.0,6,0,67.75,,,
Конструкторы,Конструктор блочный 'Кафе-кондитерская',WONDERS-9196309-РОЗОВ,,2326576,1590.0,2,0,67.75,,,
Конструкторы,Конструктор Синий трактор,WONDERS-7472685-СИНИЙ,,2394719,349.0,9,0,67.75,,,
Конструкторы,Конструктор Динозавр со звуковыми эффектами Серия Дино мир,WONDERS-7761138-ЗЕЛЕН,Зелен,2334521,999.0,3,0,67.75,,,
Конструкторы,Конструктор Динозавр. Робот-трансформер 'Вольтрон' 6 видов,WONDERS-ДИНОБОТ-СИНИЙ,,2334559,379.0,7,0,67.75,,,
Конструкторы,Конструктор Динозавр со звуковыми эффектами Серия Дино мир,WONDERS-7761138-ЧЕРН,Черный,2334521,790.0,3,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-КОРАЛЛ,,2327391,299.0,7,0,67.75,,,
Конструкторы,Конструктор Динозавр со звуковыми эффектами Серия Дино мир,WONDERS-7761138-КОРИЧН,Коричневый,2334521,690.0,3,0,67.75,,,
Конструкторы,Конструктор для девочек 'Океанариум',WONDERS-784949,,2330047,1990.0,1,0,67.75,,,
Конструкторы,Конструктор Динозавры 'Трицератопс и бронтозавр' звуковые эффекты,WONDERS-7761117-ЗЕЛЕН,ЗЕЛ5,2394570,990.0,2,0,67.75,,,
Конструкторы,Конструктор Динозавр. Робот-трансформер 'Вольтрон' 6 видов,WONDERS-ДИНОБОТ-ФИОЛЕТ,,2334559,329.0,6,0,67.75,,,
Конструкторы,Конструктор робот «Полицейский транспорт» 6 видов,WONDERS-7045863-МОРСК,,2336930,449.0,4,0,67.75,,,
Конструкторы,Конструктор робот «Полицейский транспорт» 6 видов,WONDERS-7045863-БЕЛЫЙ,,2336930,399.0,4,0,67.75,,,
Конструкторы,Конструктор робот «Полицейский транспорт» 6 видов,WONDERS-7045863-ИНДИГО,,2336930,449.0,3,0,67.75,,,
