rank,product_id,title,sold,price,active,rating
107,2376205,Оригами для самых маленьких Домашние зверята,73,199.0,17,5.0
108,1008660,"Настольная игра для детей Мафия детская ""Школа Волшебства""",73,299.0,0,5.0
109,977232,"Детская настольная игра ""Тарантинки. Кто я?"" с ободком",73,499.0,0,5.0
110,1031683,"Аппликация Новый год. Дед мороз, Снегурочка, Ёлочка, Снеговик",72,299.0,67,5.0
111,58557,"Книга для купания и игр в ванной ""Как называется?"" ( знакомимся с цветами) Bondibon",71,245.0,0,5.0
112,1813755,Магниты детские Времена года. Развивающая магнитная игра для детей,70,355.0,22,5.0
113,672993,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,70,199.0,0,1.0
114,417024,"Счетный материал ""Радужный счет"" 70 шт",69,245.0,0,4.8
115,1965084,"Гравюра цветная,скретч картинки Набор для рисования",68,129.0,130,5.0
116,940002,Мемо. Детская настольная игра на развитие памяти,67,319.0,4,5.0
117,416635,"Лото ""Азбука-цифры"", ""Алатойс""",67,545.09,12,5.0
118,2487480,Книга-история с наклейками Эльза и Анна. Книжка Холодное сердце. Идеальный летний день,66,219.0,0,5.0
119,156489,"Книга для купания и игр в ванной ""Что любит?"", Bondibon",65,245.0,0,4.9
120,2296836,"Набор для рисования на воде ""Эбру"", большой лоток, 8 цветов",64,1190.0,4,5.0
121,1320552,"Доски деревянные для выжигания по дереву Динозавры, Драконы, 2шт в наборе. Набор досок",64,279.0,11,5.0
122,1320053,"Доски для выжигания Вертолет и Гоночный автомобиль, Трансформер и космический корабль",64,210.0,36,4.5
123,1832626,"Мозаика детская шестигранная пластмассовая Сова, Машина, 85, 100 и 120 элементов",63,382.5,18,5.0
124,9927,Гоночный трек с 4 машинками,63,1750.0,0,4.8
125,817008,"Сортер для малышей, деревянный, Монтессори, рамка-вкладыш ""Животные"", 18 деталей",62,750.0,0,4.8
126,81516,Логические цилиндры Монтессори,62,590.0,0,5.0
127,2974163,"Карнавальный набор Снежинка. Новогодний ободок, пумпоны",61,329.0,11,0.0
128,2336479,"Настольная игра на баланс Стульчики / На 4 ногах, Башня из стульчиков. Новогодняя версия",61,289.0,1,5.0
129,1266686,"Доски для выжигания, с рисунком",60,349.0,0,5.0
130,1034797,Набор букв для игры Словодел 125 фишек. Составь слово,60,225.0,0,5.0
131,1008534,Русский алфавит. Азбука. Магнитная игра Удивительные буквы (72 элемента),60,199.0,0,5.0
132,2529546,"Мыльные пузыри Большие Лунтик, Барбоскины, 200 мл",59,269.0,24,5.0
