"ID","Наименование","Штрихкод","SKU","ID товара","К отправке","В продаже","Возврат","Брак","Себест. (руб.)","Стоимость продажи (руб.)","Общий остаток","Общая сумма остатков (руб.)","Себест. (сумма) (руб.)","Стоимость продажи (сумма) (руб.)","Остаток на СДХ","Остаток на фотостудии","Остаток на СДХ (сумма) (руб.)","Доступно к отправке","Статус","Среднесуточные продажи (шт.)","Среднесуточные остатки, (шт.)","Оборачиваемость","Габариты товара: длина (мм)","Габариты товара: ширина (мм)","Габариты товара: высота (мм)","Платные остатки (шт.)","Объем платных остатков (л)","Стоимость хранения (руб. в день)","Seller SKU ID"
"8362330","Ёлочный шар под раскраску на новый год Холодное сердце Эльза и Олаф","6900050356956","WONDERS-ШАР-ГОЛУБ","2974849","0","0","1","0","44,00","129,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","1,000","1,000","1,000","136","116","54","0","0,00","0,00",""
"8362355","Выращивание кристаллов. Химические опыты для детей. Дед Мороз Снегурочка Ёлочка","1000083623553","WONDERS-КРИСТАЛ-БАГРОВ","2973504","0","0","2","0","110,00","259,00","0","0,00","0,00","0,00","0","0","0,00","1000","Возврат","1,000","1,000","1,000","98","75","30","0","0,00","0,00",""
"8362356","Выращивание кристаллов. Химические опыты для детей. Дед Мороз Снегурочка Ёлочка","6900048284582","WONDERS-КРИСТАЛ-БЕЛЫЙ","2973504","0","0","1","0","55,00","219,00","0","0,00","0,00","0,00","0","0","0,00","1000","Возврат","0,000","0,000","0,000","119","81","24","0","0,00","0,00",""
"8362357","Выращивание кристаллов. Химические опыты для детей. Дед Мороз Снегурочка Ёлочка","6900048284551","WONDERS-КРИСТАЛ-ГОЛУБ","2973504","0","0","3","1","48,00","219,00","0","0,00","0,00","0,00","0","0","0,00","1000","Не в продаже","0,000","0,000","0,000","122","82","35","0","0,00","0,00",""
"8362359","Выращивание кристаллов. Химические опыты для детей. Дед Мороз Снегурочка Ёлочка","6900048284544","WONDERS-КРИСТАЛ-КРАСН","2973504","0","0","0","0","46,00","219,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","119","81","25","0","0,00","0,00",""
"8362766","Наклейки новогодние кружочки. Приходи Новый год","6900038234658","WONDERS-НАКЛЕЙ-БЕЖЕВ","2974974","0","0","0","0","53,00","169,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","1,000","1,000","1,000","235","148","17","0","0,00","0,00","БЕЖЕВ"
"8362767","Наклейки новогодние кружочки. Приходи Новый год","6900044355989","WONDERS-НАКЛЕЙ-БЕЛЫЙ","2974974","0","4","0","0","54,00","169,00","4","676,00","216,00","676,00","0","0","0,00","996","В продаже","0,017","4,250","255,000","239","146","13","0","0,00","0,00","БЕЛЫ"
"8362773","Активити - книга новогодняя 'Найди и покажи. Мы встречаем Новый год'","6900044396111","WONDERS-НАЙДИ","2974154","0","33","0","0","29,00","149,00","33","4917,00","957,00","4917,00","0","0","0,00","967","В продаже","0,000","33,000","0,000","235","169","23","0","0,00","0,00",""
"8362825","Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка'","6900069009980","WONDERS-НГ-КОРАЛЛ","2327391","0","7","0","0","119,00","299,00","7","2093,00","833,00","2093,00","0","0","0,00","993","В продаже","0,000","7,000","0,000","137","101","56","0","0,00","0,00",""
"8362843","Игрушка из фетра своими руками на новый год Сияющий гномик набор для творчества","6900096872168","WONDERS-ГНОМ-СИНИЙ","2974167","0","14","1","0","142,00","390,00","14","5460,00","1988,00","5460,00","0","0","0,00","986","В продаже","0,000","14,000","0,000","203","159","51","0","0,00","0,00",""
"8362844","Картина по номерам детская ракраска. Холсте с подрамником Единорог Пони Холодное сердце","6900079141694","WONDERS-21Х15-СИНИЙ","2515846","0","10","0","0","176,00","449,00","10","4490,00","1760,00","4490,00","0","0","0,00","990","В продаже","0,000","10,000","0,000","206","157","14","0","0,00","0,00","wow-21х15-синий"
"8364215","Оригами для мальчиков девочек набор для творчества","6900096241476","WONDERS-ОРИГАМИ-БЕЛЫЙ","2975468","0","19","0","0","105,00","249,00","19","4731,00","1995,00","4731,00","0","0","0,00","981","В продаже","0,000","19,000","0,000","194","194","19","0","0,00","0,00","Белый"
"8364216","Оригами для мальчиков девочек набор для творчества","6900104122667","WONDERS-ОРИГАМИ-ГОЛУБ","2975468","0","16","1","0","61,00","170,00","16","2720,00","976,00","2720,00","0","0","0,00","984","В продаже","0,017","16,467","988,000","194","190","17","0","0,00","0,00","Голубой"
